timestamp,sn,text,EST
2017-07-17 00:36:57,Yasirali093,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:57
2017-07-17 00:36:57,Sameer_Shakir1,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:57
2017-07-17 00:36:57,Shahzad_Ikram1,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:57
2017-07-17 00:36:56,waseemeawan77,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:56
2017-07-17 00:36:55,Awais_Khan_pk,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:55
2017-07-17 00:36:54,Murtaza_ali_CA,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:54
2017-07-17 00:36:51,spark___y,RT @Jeff81442228: Another great thread by @ThomasWictor #AmericaFirst #trumptrain #Trumprussia #DonaldTrumpJr #DonaldTrump #ccot #russiagat…,2017-07-16 19:36:51
2017-07-17 00:36:22,BanDaesh,The Mischief of the Pseudo #Muslims https://t.co/ga7He3RbSG #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump #MikePence,2017-07-16 19:36:22
2017-07-17 00:36:16,antmousie,"RT @jrzgrlz: #MadeInAmerica Week, when virtually ALL #DonaldTrump &amp; #Ivanka products are made elsewhere, &amp; his employees are sourced overse…",2017-07-16 19:36:16
2017-07-17 00:35:45,jrzgrlz,"#MadeInAmerica Week, when virtually ALL #DonaldTrump &amp; #Ivanka products are made elsewhere, &amp; his employees are sourced overseas? Really?",2017-07-16 19:35:45
2017-07-17 00:34:08,michael_byers,"This graph tells us many things, including that 18 percent of Republicans have at least some cognitive activity… https://t.co/KaZ7YjlwDd",2017-07-16 19:34:08
2017-07-17 00:33:39,UonGuard,"#TrumpTrain,#MAGA,#MakeAmericaGreatAgain,#DonaldTrump,@realDonaldTrump, https://t.co/VONE7fIMjl",2017-07-16 19:33:39
2017-07-17 00:33:19,CampaignUSA2016,#donaldtrump Donald Trump's record-low approval rating 'not bad at this time' https://t.co/r04glKSd49,2017-07-16 19:33:19
2017-07-17 00:33:19,CampaignUSA2016,#donaldtrump Several pastors prayed over President Trump. Another says they bordered on 'heresy.' https://t.co/x8HL0zpPr4,2017-07-16 19:33:19
